ID,Title,Milestone,Phase,Area,Type,Priority,Status,Owner,Estimate,Client Visible,Depends On,Labels,Description,Acceptance Criteria,Testing Notes
LW-102,Реалізувати payout calculation service,M13,phase: 13-payouts,payouts,backend,high,Backlog,Backend,5,yes,"LW-101, LW-071",type: backend; area: payouts; phase: 13-payouts; priority: high,Calculate after 30-day window; use fixed designerRevenuePercent; subtract returns.,CalculationBase transparent; no payout before window ends.,Unit tests.
LW-103,Зробити Admin payouts page,M13,phase: 13-payouts,payouts,frontend,medium,Backlog,Frontend,5,yes,LW-102,type: frontend; area: payouts; phase: 13-payouts; priority: medium,"View pending/ready, mark paid/partial, notes.",Admin can mark paid with audit.,Manual/admin flow.
LW-104,Зробити Designer payouts page,M13,phase: 13-payouts,payouts,frontend,medium,Backlog,Frontend,4,yes,LW-102,type: frontend; area: payouts; phase: 13-payouts; priority: medium,Designer sees awaiting/paid/drop-based calculations/status.,Designer sees own payouts only.,Owner/manual test.
LW-105,Реалізувати basic admin analytics,M13,phase: 13-payouts,analytics,backend,medium,Backlog,Backend,4,yes,"LW-026, LW-057, LW-065",type: backend; area: analytics; phase: 13-payouts; priority: medium,Users/designers/drops/orders/revenue/returns/second chance metrics.,Admin analytics endpoint works.,API test.
LW-106,Реалізувати designer analytics,M13,phase: 13-payouts,analytics,backend,medium,Backlog,Backend,4,yes,"LW-040, LW-026, LW-101",type: backend; area: analytics; phase: 13-payouts; priority: medium,"Designs approved, drops, sold units, revenue, payouts.",Designer sees own analytics only.,API/owner tests.
LW-107,Написати payout tests,M13,phase: 13-payouts,testing,testing,medium,Backlog,Backend,3,no,"LW-102, LW-103",type: testing; area: testing; phase: 13-payouts; priority: medium,Payout not ready before window; fixed percent; mark paid permission; audit log.,Tests green.,CI green.
LW-108,Security hardening pass,M14,phase: 14-launch,security,testing,critical,Backlog,Fullstack,6,yes,"LW-073, LW-081, LW-049",type: testing; area: security; phase: 14-launch; priority: critical,"Cookies, CORS, rate limits, secrets, private files, admin endpoints, webhooks.",Security checklist passed.,Manual + automated security tests.
LW-109,Full test suite pass,M14,phase: 14-launch,testing,testing,critical,Backlog,Fullstack,5,yes,LW-108,type: testing; area: testing; phase: 14-launch; priority: critical,Run auth/roles/drops/orders/payments/delivery/files/notifications/audit tests.,All tests green in CI.,CI green.
LW-110,Production environment setup,M14,phase: 14-launch,deployment,devops,critical,Backlog,DevOps,6,yes,LW-109,type: devops; area: deployment; phase: 14-launch; priority: critical,"Prod MongoDB, backend server, frontend Vercel, env vars, storage bucket, domain.",Prod env ready but not public launch yet.,Smoke test.
LW-111,Domain and email setup,M14,phase: 14-launch,deployment,devops,high,Backlog,DevOps,4,yes,LW-110,type: devops; area: deployment; phase: 14-launch; priority: high,"Domain, HTTPS, noreply/support, SPF/DKIM/DMARC, transactional email test.",Emails deliver; domain secure.,Manual email/domain checks.
LW-112,Monitoring setup,M14,phase: 14-launch,monitoring,devops,high,Backlog,DevOps,4,yes,LW-110,type: devops; area: monitoring; phase: 14-launch; priority: high,"Sentry FE/BE, health check, server logs, Telegram admin alerts.",Critical errors alert admin.,Trigger test alert.
LW-113,Backups setup,M14,phase: 14-launch,backups,devops,high,Backlog,DevOps,4,yes,LW-110,type: devops; area: backups; phase: 14-launch; priority: high,"MongoDB backups, file retention, soft delete, restore procedure, test restore.",Restore tested in dev.,Restore drill.
LW-114,Launch checklist pass,M14,phase: 14-launch,launch,testing,critical,Backlog,Fullstack,5,yes,"LW-111, LW-112, LW-113",type: testing; area: launch; phase: 14-launch; priority: critical,Frontend/backend/db/storage/email/telegram/order/payment/TTN/admin/audit/backup/monitoring/rollback.,All launch checklist items passed.,Manual checklist signed off.
LW-115,Production release,M14,phase: 14-launch,launch,devops,critical,Backlog,Fullstack,3,yes,LW-114,type: devops; area: launch; phase: 14-launch; priority: critical,"Merge main, CI green, deploy backend/frontend, smoke tests, monitor logs, internal launch.",Production system live and monitored.,Smoke tests after deploy.
